Cement (kg/m3 ),Sand (kg/m3 ),Gravel (kg/m3 ),admixture kg/m3,SP kg/m3,water  kg/m3 ,VMA kg/m3,fc' 28 days
290,625,837,0,0.58,130.5,0,32.9
250,742,837,0,1.25,137.5,0,26
250,742,837,0,1.25,137.5,0,28.5
250,742,837,0,1.25,137.5,0,26.4
250,739,837,0,0,137.5,0,27.3
210,1066,837,0,0.42,94.5,0,54.3
317,594,837,0,1.585,174.35,0,29.1
210,562,837,0,0.42,136.5,0,10.2
250,742,837,0,1.25,137.5,0,25.3
250,919,837,0,1.25,95,0,36.3
250,746,837,0,2.5,137.5,0,26.7
250,566,837,0,1.25,180,0,11
183,891,837,0,0.915,100.65,0,22.1
500,740.8,769.85,50,10.5,154,0.56,83.15
500,740.48,769.52,75,10.5,154,0.56,90.99
500,740.16,769.18,100,10.5,154,0.56,86.99
500,740.48,769.52,75,10.5,154,0.56,99.84
500,740.59,769.63,75,10.5,154,0.56,99.76
500,758.33,788.07,75,10.5,140,0.56,88.98
500,758.01,787.73,100,10.5,140,0.56,83.94
500,758.33,788.07,75,10.5,140,0.56,85.37
500,781.44,790.4,75,13.3,140,0.35,91.13
500,766.19,774.98,75,11.2,154,0.35,117.03
408.5,1135,630,0,3.68,200,0,53.006
387,1135,630,0,3.29,200,0,51.039
365.5,1135,630,0,3.11,200,0,50.982
344,1135,630,0,2.75,200,0,50.37
322.5,1135,630,0,2.58,200,0,43.984
301,1135,630,0,2.26,200,0,44.003
279.5,1135,630,0,2.1,200,0,44.344
258,1135,630,0,1.68,200,0,43.184
350,1050,500,0,11.7,126,0,61.3
350,1050,500,0,8.9,143.5,0,60.1
350,1050,500,0,6.9,161,0,58.7
350,1050,500,0,3.8,178.5,0,49.5
350,1050,500,0,3.2,196,0,43
333,1050,500,17,7.3,158,0,52.9
326,1050,500,24,5.1,158,0,54.3
319,1050,500,31,5.2,158,0,58.4
313,1050,500,37,6.8,158,0,63.3
307,1050,500,43,6.1,158,0,59.1
301,1050,500,49,8.8,158,0,65.5
500,875,750,0,17.5,200,0,38
500,875,750,0,20,200,0,37.8
500,875,750,0,22.5,200,0,22.2
500,875,750,0,17.5,200,0,36.2
500,875,750,0,20,200,0,41.4
500,875,750,0,22.5,200,0,48.5
360,813,855,0,3.2,198,0,68
270,801,842,0,2.9,198,0,60.3
180,788,829,0,3,198,0,42.5
360,824,866,0,3.7,198,0,72.6
270,821,863,0,3.4,198,0,74.9
180,819,861,0,2.8,198,0,65.7
428,823,865,22.5,4.9,198,0,71.2
405,819,861,45,5.2,198,0,76.1
383,816,858,67.5,7.8,198,0,74.8
360,813,855,22.5,4.2,198,0,67.2
270,801,841,45,4.5,198,0,57.6
180,788,828,67.5,4.8,198,0,44.9
360,821,863,22.5,4,198,0,68
270,816,857,45,4.6,198,0,68.2
180,810,852,67.5,5.8,198,0,70.7
360,819,861,0,3.2,198,0,78
270,811,853,0,3.2,198,0,69.2
180,803,845,0,2.8,198,0,60.6
360,817,859,22.5,4.2,198,0,76
270,808,849,45,4.2,198,0,66.8
